Country,Year,ConflictEvents,GDP,Population,Unemployment,PovertyRate,AvgTemp,Rainfall
Niger,2016,12,9200000000,18200000,6.1,44,29.6,620
Niger,2017,15,9500000000,18500000,6.3,43,29.7,640
Niger,2018,20,9800000000,18800000,6.5,42,29.8,660
Niger,2019,30,10000000000,19100000,6.8,41,29.9,680
Niger,2020,50,9900000000,19400000,7.0,41,30.0,700
Niger,2021,70,10200000000,19700000,7.2,40,30.1,720
Niger,2022,90,10500000000,20000000,7.3,39,30.2,740
Niger,2023,100,10800000000,20300000,7.5,38,30.3,760
Nigeria,2015,120,500000000000,182000000,6.0,40,27.0,1200
Nigeria,2016,130,510000000000,185000000,6.2,39,27.1,1210
Nigeria,2017,150,520000000000,188000000,6.5,38,27.2,1220
Nigeria,2018,200,530000000000,191000000,6.7,37,27.3,1230
Nigeria,2019,250,540000000000,194000000,7.0,36,27.4,1240
Nigeria,2020,300,530000000000,197000000,7.2,36,27.5,1250
Nigeria,2021,350,550000000000,200000000,7.5,35,27.6,1260
Nigeria,2022,400,570000000000,203000000,7.8,34,27.7,1270
Nigeria,2023,450,590000000000,206000000,8.0,33,27.8,1280
Senegal,2015,5,15000000000,15000000,5.0,34,27.0,1100
Senegal,2016,4,15500000000,15200000,5.1,33,27.1,1110
Senegal,2017,4,16000000000,15400000,5.2,32,27.2,1120
Senegal,2018,5,16500000000,15600000,5.3,31,27.3,1130
Senegal,2019,5,17000000000,15800000,5.4,30,27.4,1140
Senegal,2020,6,16500000000,16000000,5.6,30,27.5,1150
Senegal,2021,7,17500000000,16200000,5.8,29,27.6,1160
Senegal,2022,8,18500000000,16400000,6.0,28,27.7,1170
Senegal,2023,9,19000000000,16600000,6.1,27,27.8,1180
Sierra Leone,2015,2,4000000000,7000000,4.0,40,26.0,1500
Sierra Leone,2016,2,4200000000,7100000,4.1,39,26.1,1510
Sierra Leone,2017,2,4400000000,7200000,4.2,38,26.2,1520
Sierra Leone,2018,3,4600000000,7300000,4.3,37,26.3,1530
Sierra Leone,2019,3,4800000000,7400000,4.4,36,26.4,1540
Sierra Leone,2020,3,4700000000,7500000,4.5,36,26.5,1550
Sierra Leone,2021,4,4900000000,7600000,4.6,35,26.6,1560
Sierra Leone,2022,4,5100000000,7700000,4.7,34,26.7,1570
Sierra Leone,2023,5,5300000000,7800000,4.8,33,26.8,1580
Togo,2015,3,5000000000,7000000,2.0,36,27.0,700
Togo,2016,3,5200000000,7100000,2.1,35,27.1,710
Togo,2017,4,5400000000,7200000,2.2,34,27.2,720
Togo,2018,5,5600000000,7300000,2.3,33,27.3,730
Togo,2019,5,5800000000,7400000,2.4,32,27.4,740
Togo,2020,6,5700000000,7500000,2.5,32,27.5,750
Togo,2021,7,5900000000,7600000,2.6,31,27.6,760
Togo,2022,8,6100000000,7700000,2.7,30,27.7,770
Togo,2023,9,6300000000,7800000,2.8,29,27.8,780
Mauritania,2015,8,5000000000,4000000,8.0,35,28.0,400
Mauritania,2016,7,5100000000,4100000,8.2,34,28.1,410
Mauritania,2017,7,5200000000,4200000,8.3,33,28.2,420
Mauritania,2018,6,5300000000,4300000,8.4,32,28.3,430
Mauritania,2019,5,5400000000,4400000,8.5,31,28.4,440
Mauritania,2020,5,5300000000,4500000,8.6,31,28.5,450
Mauritania,2021,6,5500000000,4600000,8.7,30,28.6,460
Mauritania,2022,6,5700000000,4700000,8.8,29,28.7,470
Mauritania,2023,6,5900000000,4800000,8.9,28,28.8,480
